970 2612
317 104 774
47 822 88
577 773 834
600 894 713
940 660 997
375 386 578
936 308 540
808 30 608
591 451 460
266 734 999
602 592 354
59 292 422
154 793 831
492 778 442
357 282 327
111 429 928
5 512 488
29 929 773
637 374 693
794 938 528
814 192 961
592 459 933
239 122 689
710 154 221
615 666 625
929 896 575
461 945 801
142 731 987
820 198 695
120 280 979
447 261 116
647 112 174
901 656 328
912 844 576
40 576 69
561 233 389
957 805 196
12 751 624
712 955 174
938 470 772
471 155 789
69 923 183
254 5 398
587 715 446
761 344 786
815 103 318
436 729 792
108 594 772
801 17 5
106 935 785
451 256 164
437 641 808
840 50 376
791 948 456
9 300 865
306 758 117
51 730 877
733 782 302
156 224 792
706 663 823
869 437 252
53 95 675
222 23 798
815 251 99
236 326 53
803 420 535
391 226 883
119 768 969
47 106 508
53 486 357
487 238 110
635 628 986
570 967 597
420 61 43
740 965 737
465 372 934
224 227 210
146 508 531
699 302 710
71 136 611
201 898 21
273 304 288
959 833 469
349 576 510
198 188 667
77 710 962
388 411 832
658 202 975
386 147 943
113 801 575
315 73 50
607 102 400
755 510 679
285 8 115
809 735 582
118 851 522
729 244 127
359 430 421
618 114 678
78 323 348
648 33 515
737 423 694
91 360 325
869 896 487
210 155 207
311 713 949
211 190 606
666 549 44
636 267 263
634 724 73
349 454 782
935 174 367
297 272 374
653 377 693
897 674 150
773 919 700
234 218 49
25 299 342
254 72 977
893 49 848
53 254 156
150 458 621
184 859 698
438 91 950
498 529 473
267 574 10
78 492 508
450 287 477
772 482 494
469 154 476
581 500 565
608 337 765
847 2 384
661 476 967
84 679 694
646 371 10
547 839 716
735 530 293
305 897 465
622 555 595
765 497 138
174 747 230
258 333 131
120 252 29
614 13 930
131 884 998
299 560 427
345 118 476
292 13 430
409 152 734
908 387 261
314 552 964
583 136 244
385 772 25
705 954 899
85 880 364
227 13 861
925 525 348
147 303 682
53 759 305
458 701 2
883 506 168
619 883 405
787 543 974
84 106 149
748 485 812
953 738 395
721 382 852
394 421 565
350 310 783
845 716 92
812 43 105
192 233 9
714 614 673
787 581 454
584 72 974
891 277 186
209 512 450
656 650 389
927 204 763
934 569 323
216 448 334
41 159 547
898 279 174
496 884 57
274 585 342
960 475 702
194 177 546
140 370 300
601 369 922
361 173 649
450 178 856
418 579 541
615 246 235
157 663 727
17 585 820
118 776 395
844 63 241
390 870 450
437 718 765
486 56 48
647 338 753
330 817 413
207 899 695
117 782 767
650 217 484
31 109 593
640 721 155
464 169 420
44 665 254
786 371 348
480 932 766
300 591 825
893 854 659
738 86 769
485 744 339
626 688 854
383 84 786
937 183 739
715 770 271
768 294 545
174 314 410
366 16 501
19 768 434
615 696 810
601 28 834
610 810 382
203 229 834
295 48 466
820 872 325
671 738 510
117 224 79
946 243 812
614 249 204
894 632 392
8 516 267
116 126 918
663 878 324
88 767 448
340 14 950
158 235 496
420 84 612
907 687 962
281 55 758
905 482 26
612 68 439
237 396 335
604 224 670
667 431 73
742 504 150
828 785 404
739 206 545
864 356 742
226 676 689
412 797 354
945 323 254
921 371 367
851 461 888
719 206 844
609 213 16
591 755 657
777 270 999
94 729 280
50 705 908
91 762 476
947 203 250
249 947 832
833 631 134
110 293 694
559 39 838
348 699 35
944 958 742
328 681 624
278 777 239
741 379 2
676 931 118
494 925 41
333 762 933
181 375 548
37 183 490
575 493 212
169 292 941
66 275 42
290 782 694
449 3 231
703 325 673
90 459 287
281 134 720
713 200 839
707 690 736
62 6 745
806 616 773
109 63 188
546 594 609
820 251 144
837 246 630
551 476 347
752 629 770
86 218 842
432 308 24
323 935 929
902 151 56
673 454 572
626 898 540
384 575 899
504 388 195
892 254 610
580 204 399
682 869 358
800 889 41
45 955 179
427 937 1000
783 409 293
449 919 746
169 848 179
868 962 701
776 106 303
456 655 435
258 19 438
673 361 39
930 142 642
674 483 888
310 802 300
755 789 781
231 276 203
884 136 821
80 193 906
159 123 35
654 565 810
635 271 291
219 544 821
646 532 313
285 855 308
255 697 795
749 499 853
535 725 166
701 630 206
837 697 192
15 292 987
334 690 449
43 336 77
741 547 14
705 911 250
499 961 892
184 906 767
947 193 571
713 741 934
716 635 895
786 266 319
765 692 606
412 530 902
559 212 382
408 366 428
389 204 871
290 305 362
886 454 841
21 284 483
787 158 46
303 529 404
128 493 154
248 923 783
664 657 460
250 392 263
89 498 164
406 499 801
352 533 972
571 111 386
864 13 305
138 436 265
841 57 246
468 533 103
345 446 192
310 744 142
103 904 365
203 393 456
841 831 597
455 176 640
874 616 860
657 119 986
70 248 887
313 831 818
749 189 612
101 642 488
371 220 309
440 168 365
488 90 81
156 406 598
406 694 386
247 65 716
404 637 262
313 691 748
829 793 175
5 947 571
302 427 64
440 901 161
949 772 880
91 735 276
746 109 592
150 217 172
870 120 670
887 936 512
457 154 97
24 611 268
833 598 783
633 385 57
481 249 990
144 307 372
34 564 492
427 400 324
918 153 986
606 46 22
552 386 906
294 132 445
124 150 517
711 415 594
190 121 702
639 6 162
185 259 961
180 28 456
457 494 234
67 819 884
279 637 317
258 854 960
844 82 606
660 188 438
603 568 237
563 26 209
690 261 714
470 86 956
99 763 248
251 793 167
364 249 754
269 882 193
347 640 972
781 44 23
823 154 682
201 953 666
872 859 252
270 441 106
920 755 158
635 290 80
853 90 487
702 910 747
32 655 819
487 958 651
84 378 753
613 770 359
873 939 956
95 231 388
454 429 745
728 936 451
367 147 551
313 323 296
677 608 911
376 206 364
184 106 241
311 381 256
452 51 107
220 213 506
414 614 895
854 491 401
798 766 240
653 128 712
342 257 504
35 371 801
64 814 729
23 158 943
515 878 810
436 641 116
35 748 379
417 173 187
51 222 146
548 179 444
952 822 989
468 315 150
809 775 759
719 507 751
761 762 497
303 159 293
915 215 236
182 118 404
918 652 67
23 526 150
401 365 780
579 535 738
364 174 687
310 550 167
803 762 731
186 930 540
121 57 911
413 956 418
823 385 569
679 440 342
571 672 784
312 966 811
459 878 28
895 544 724
81 222 976
445 603 543
545 109 735
609 475 358
642 807 898
777 546 754
591 679 203
90 470 895
770 175 140
35 11 806
337 729 212
148 585 649
141 503 550
300 370 154
312 384 217
262 670 695
824 381 229
618 361 883
317 491 166
90 825 258
24 144 412
100 410 112
588 659 154
871 154 900
506 898 708
555 708 432
256 766 267
823 77 790
80 625 134
446 593 105
505 397 358
944 218 140
237 283 961
143 265 791
605 409 584
136 314 971
331 352 799
289 710 192
115 490 560
386 191 395
130 453 828
787 168 620
752 204 456
13 524 540
511 967 189
518 644 878
451 577 494
315 829 459
103 391 758
75 751 860
742 319 603
132 698 859
336 685 518
191 823 648
43 819 693
491 565 746
529 784 261
157 62 717
402 164 818
686 221 750
263 819 684
339 409 415
528 29 406
278 382 672
784 54 79
438 370 841
952 68 759
712 648 916
713 203 813
887 319 639
727 891 733
187 879 307
43 320 48
449 819 748
855 315 507
536 648 674
690 24 441
292 110 673
139 958 449
131 581 461
207 585 712
838 553 653
157 814 882
811 651 248
1 854 242
535 276 157
196 479 89
462 657 915
178 926 729
234 949 642
466 439 282
636 921 122
619 47 46
406 52 172
764 580 497
419 144 306
401 151 546
811 99 375
58 483 407
357 21 430
889 405 833
458 493 593
959 207 830
129 415 877
273 72 977
336 857 735
608 758 819
550 851 422
859 605 768
96 152 869
921 24 329
664 732 80
30 530 591
268 949 445
400 714 480
117 558 33
126 874 439
287 285 585
633 609 132
288 319 604
245 265 213
117 455 48
594 838 802
382 262 782
745 163 781
63 829 791
23 120 51
820 674 666
308 779 484
668 376 626
789 854 447
143 640 712
831 876 920
679 829 161
640 832 971
90 54 533
832 335 791
745 803 560
14 139 165
744 488 627
673 553 122
236 129 654
145 897 313
932 612 32
53 505 824
743 96 256
792 689 442
515 538 293
706 611 906
265 475 780
488 130 755
198 173 15
768 481 637
235 455 915
515 288 715
741 138 526
789 280 478
201 392 180
741 870 250
483 473 166
468 137 291
462 828 96
678 315 281
485 56 187
713 148 901
23 738 504
702 882 178
58 367 108
615 729 877
519 153 375
465 708 971
279 214 502
636 721 690
849 688 124
570 532 291
317 596 632
30 9 141
555 625 756
477 34 774
330 837 783
782 422 979
959 967 239
497 464 624
644 553 451
751 669 847
700 931 27
433 728 880
734 353 946
230 15 3
248 70 278
505 585 276
646 94 537
412 718 208
240 771 786
789 398 320
380 934 679
273 204 933
568 416 62
387 410 82
195 136 535
799 305 965
553 24 346
877 546 977
554 898 223
15 462 873
128 829 174
34 807 897
308 184 411
167 248 343
367 459 903
301 365 83
16 709 450
241 534 377
416 442 381
778 46 890
515 431 436
720 675 979
334 198 398
220 261 106
649 384 775
530 418 522
624 716 229
188 919 616
489 708 196
509 535 68
278 727 580
466 532 582
294 160 365
38 18 503
60 806 514
778 744 524
594 495 603
615 61 393
795 340 825
859 275 139
435 198 943
541 101 81
256 481 238
704 112 291
635 6 420
561 664 28
19 275 110
600 127 524
125 227 474
759 820 889
45 677 781
617 668 191
913 152 399
859 444 985
391 744 99
144 898 517
935 626 184
428 126 355
